body	id	
11	נכון שיונתן פולארד ריגל, נכון שהוא בגד, נכון שהוא גם נענש על כך, ונכון שהוא מיצה את עונשו עד הטיפה האחרונה. עד הטיפה האחרונה. אין תקדים בהיסטוריה האמריקנית שאדם ישב בכלא כל כך הרבה שנים על האשמות כאלה, על אישומים כאלה, על הרשעות כאלה, ולא ניתן לו בסופו של דבר לצאת. ארצות-הברית מסרבת אפילו לקצוב את העונש, אפילו לומר מתי סוף-סוף הוא יזכה לראות קרן שמש אחת מחוץ לכלא שבו הוא נמצא עד היום הזה בתנאים מחמירים מאוד. 
12	אני חושב שאי-אפשר שלא להתגעגע לדמות של מנחם בגין, אי-אפשר שלא לאהוב אותו. בגין קידש את המלחמה בעוני, ואני אומר את זה לחברי חרות דהיום. הכנסת שעברה לא הייתה לתפארתה של תנועת החרות, בעיניי. הוא קידש את המלחמה בעוני, וכשנבחר לרשות הממשלה הוא גם קיים. הוא יזם את מפעל שיקום שכונות, שהביא ברכה רבה על הרבה מאוד אנשים בישראל, והוא באמת שינה את חייהם לטובה בצורה משמעותית ביותר. 
13	אני רוצה להוסיף לזה, במיוחד לבני ובנות הנוער. הבעיה של סמים והבעיה של נהיגה במהירות מופרזת, תשוו את שני הדברים, יש בהם סיכונים. אין בהם יחס חד חד-ערכי שאם אתה  מעשן, יהיה לך סרטן ריאות ואם אתה נוסע במהירות אתה עלול להיות מעורב בתאונת דרכים ותיהרג, אבל הסיכון לכך הוא מאוד גבוה. לכן אני רואה הזדמנות  לבקש ולפנות לבני הנוער מכל המגזרים להיזהר מאוד בנסיעה. אי אפשר לומר אל תנהגו, תנהגו, הנהיגה היא דבר מותר ובהחלט רצוי אבל צריך לצרוך אותה בזהירות רבה. 
14	אני מסכים עם יריב שראש העירייה צריך למשול. הבעיה היא רק שבמקרה הזה האנשים היחידים, הגורם האובייקטיבי היחיד שבדק את העובדות זה מבקר המדינה, פרקליטות המדינה שבוחנת את זה. משרד הפנים כשל. כי הבטחתם לפני שנתיים לבדוק, ומי שבדק זה מבקר המדינה. ואמון עליי מבקר המדינה שהוא בודק. ולפי הבדיקה של מבקר המדינה יש בעיות בהתנהלות העירייה, ושומרי הסף אכן מילאו את תפקידם כיאות והתריעו.
15	הרבה חוקים עוסקים בחיי אדם. ולפעמים לא צריך חוקים. לפעמים, כשעושים סדר בנושא מסוים ומקבלים החלטות שמארגנות את אותו נושא, אפשר בזכות זה להציל הרבה מאוד חיי אדם. אני חושב, מבלי להפריז ולהישמע כאילו זה מעבר למה שזה באמת, שאי אפשר להפריז בחשיבות של הנושא שדנים בו היום, כי הוא באמת ישליך באופן ישיר ומשמעותי על כמות חיי האדם שיינצלו, למרות שלצערנו אם יהיה עימות מלחמתי תמיד יהיו נפגעים. אבל לסדר ולמוכנות של העורף האזרחי – של משרדי הממשלה, הרשויות המקומיות, המגיבים הראשונים, וכל מי שיש לו תפקיד במצב חירום – תהיה חשיבות אדירה להצלת חיי אדם. 
16	מי שאיחד את המשרדים מתייחס למדע, לתרבות ולספורט כאל תחביבים. תחביבים, כן. לילדים שלנו יש חוגים אחרי הצהריים במתנ"ס – יש חוג למדע ויש חוג כדורגל ויש חוג לדרמה. ההתייחסות לנושאים חשובים, וכל אחד מהנושאים האלה הוא חשוב בפני עצמו, אבל זה נחשב בעיני קובעי מדיניות בממשלה במשך הרבה שנים כמו משרד של "שונות" – סעיף שונות, כל הדברים שלא מצאנו להם שום דבר, בואו נעשה אותם ביחד, ויאללה, חוג במתנ"ס. 
17	נושא החזירים – יש מכת חזירי בר שמסתובבים באזור ואדי-עארה ובאזור חדרה בכלל. העניינים נופלים בין המשרד להגנת הסביבה לבין משרד החקלאות, והחזירים נהנים מהוויכוח הזה ומשתוללים ברחובות. אתם נתתם רישיון בודד, מסכן, לצייד אחד, שיצוד אלפי חזירים. הוא לא משתלט על העניין הזה, הוא לא מקטין. ליד הבית שלי – בשעה מסוימת אנחנו חוששים לצאת מהבית, כי הם מסתובבים. המשפחה שלי מנעה ממני לצאת בלילה להליכה – כלומר אני נוהג ללכת – למה? בגלל מכת החזירים שמסתובבים. ואתם מסתכלים על זה. אני חושב שהגיע הזמן שהשרה ומשרד החקלאות והמשרד להגנת הסביבה יטפלו במכת החזירים. אל נא תקלו ראש בנושא הזה. 
18	הייתה החלטה מפורשת של מנכ"ל משרד ראש הממשלה, לאור הוויכוחים, שהקרקע תועבר לרשות החברה. לפי מיטב ידיעתי, שום דבר מזה לא קורה. כלומר, הממשלה מקימה חברה ואחר כך משרד האוצר מרוקן בכל מיני דרכים את החברה מהיכולת שלה לקבל החלטות לגבי הפרויקט. כמו למשל, הדבר המרכזי זאת הקרקע, שצריכה להיות באזור צומת מסובים. 
19	אדוני היושב-ראש, גם אני עבדתי עם רשויות מקומיות, והייתי מוסמך מטעם היועץ המשפטי לממשלה. ההסמכה היא לעניין הגשת כתבי אישום, לא לעניין מתן חוות דעת אם אפשר לתת רישיון עסק. עם כל הכבוד. ותקני אותי אם אני טועה. 
20	ניצול שואה בודד שמתלונן על איזושהי עוולה, אולי מטפל בעוד אלפים אם לא עשרות אלפים של חבריו ניצולי השואה; הורים לילד שמנסים לטפל באיזושהי עוולה בבית-ספר, אולי מטפלים כאן במשהו מאוד מערכתי שיצמח מן הדוח הזה, יגיע לתקשורת, יגיע לאור השמש, וכידוע אור השמש אכן מחכה. 
21	מתוך ההנחה הזאת שאנשים יהיו בבתיהם עד 120, כמובן שהטיפול שנדרש להם, אלה שנזקקים לעובד – בין אם הוא עובד זר ובין אם הוא עובד ישראלי -  זקוקים לקבל את השירות הטוב ביותר והמטרה היא באמת טובת הקשישים. העובדים הזרים שמגיעים וזכאים לזכויות שלהם, זכאים לכבוד שלא תמיד אנחנו נותנים להם, הם הובאו לשם או אישרנו את בואם כדי לטפל בקשישי ישראל, כדי שיעזרו לנו במצוות והדרת פני זקן ובמצוות כיבוד הורים. הם יכולים להיטיב את חייהם של הזקנים. 
22	הגירעון הזה הוא עצום ונשלפות כל האפשרויות על ידי האוצר. אני רק רוצה להזכיר כאן לחבריי חברי הכנסת שלפני חודשים מספר, טרם הבחירות, עמדתי כאן על הדוכן הזה והתרעתי על גירעון של 40 מיליארד שקלים. בזמן שראש הממשלה דיבר על מדיניות אחראית אני טענתי שמדיניות אחראית לא יוצרת גירעון תקציבי בגובה 40 מיליארד שקלים ולא מחלקת מתנות ביד אחת ודוחפת את ידה השנייה לכיסי האזרחים כדי לממן אותן. וזה מה שקורה היום. 
23	אדוני השר, נושא שהיה על שולחנך, שאנחנו הובלנו שדולה בעניינו, זה נושא המכללות להנדסאים. המכללות להנדסאים, כפי שאתה יודע, על סף קריסה. כ-60 מכללות, 20,000 סטודנטים, מאגר כוח האדם האמיתי של תעשיית ההיי-טק בישראל, מוסדות שהם בעצם בפיקוח של המשרד שלך, שנמצאים בין הפטיש לסדן, בין משרד האוצר, המועצה להשכלה גבוהה שהם לא בתחומה, והתמ"ת. 
24	אם אנחנו מדברים היום על ממשלה חדשה, כבוד השר, על פוליטיקה חדשה – בואו ניקח את התקציב הזה ונבחן אותו באופן אמיתי לאור ההתפתחות של הצרכים. זה דבר שאף פעם אנחנו לא עושים, כי תמיד אין לנו זמן, ואז אנחנו ממציאים – המצאנו את הרעה החולה הזאת שנקראת חוק ההסדרים, שהיא שני דברים: זה חוק המסתדרים מצד אחד, שדמוקרטיה מתוקנת לא צריכה אותו, וזה חוק שהוא בית הקברות לכל מה שהוא חוק שהוא חלוקתי מעל במה זו; סדרה מתוך אותם חוקים וחלקים שבאים לצמצם את האפשרויות של הפרלמנט בכלל להשפיע על התקציב. 
25	בעשורים האחרונים המדינה מעדיפה את האחוז האחד הזה על פני ה-99, שזה אנחנו, כולנו – מעמד הביניים והשכבות המוחלשות, חרדים וחילונים, ערבים ויהודים. ובמקום שניאבק יחד להחזיר את אחריות המדינה ולהגדיל את ההשקעה שלה באזרחים, אנחנו נאבקים אחד בשני על הפירורים שנשארו מהפירוק של מדינת הרווחה. 
26	החוק מדבר על הסכמים בין סיעות שנוגעים לכינונה של הממשלה. אז קודם כל, סיעת הליכוד-ישראל ביתנו היא הרי סיעה אחת ולכן אין כאן הסכם בין סיעות. ובכל אופן, כל הסכם שהיה בין המפלגות בעבר אינו נוגע לכינונה של הממשלה. ההבנה היחידה שנוגעת לכינונה של הממשלה הוצגה על ידי בדברי הסיכום שלי קודם. 
27	ההזדמנות שניתנה לי והניסיון שרכשתי בירוחם, יישוב פריפריאלי לכל דבר, לימדו אותי שבמקום שמשקיעים, במקרה הזה לא בתקציבי ממשלה, אלא בתרומות ובשותפות עם משרד המדע, אתה יכול להגיע להישגים מדהימים. תוכנית "עתידים" ו"קדם-עתידים", שאני מניח שחלקכם מכירים, הצביעה על כך שבמקום שמשקיעים אמצעים ונותנים דגש בדברים האלה התוצאות הן מדהימות – לבני נוער, נערים ונערות, שמגיעים להישגים מדהימים בתחומים המדעיים והטכנולוגיים, אבל לא רק. רובוטיקה, שמקודמת בשנים האחרונות על ידי משרד המדע, הגיעה גם כן להישגים בלתי רגילים. 
28	אני אדם שכל השנים נאבק למען השידור הציבורי. אני לא רוצה לחזור על דברים שאמרתי בוועדות שונות, כולל אפילו הצעת חוק שהיא כל כך מנוגדת לתפיסת העולם שלי, שבה הכבלים והלוויין יאלצו להעביר את הנתונים שלהם אל רשות השידור כדי שבעצם במקום שיחפשו מי שיש לו אנטנה, שידעו שמי שמחובר לכבלים או הלוויין, ממילא יש לו מקלט. זו הנחת העבודה. 
29	אני מתחבר למה שאמרה התלמידה האחרונה מראשון, רותם, שדיברה על תנועות הנוער. אני מחזק את דבריך לגבי החשיבות של תנועות הנוער שמהוות מגן או כלי חשוב כדי למנוע הדרדרות או פנייה לאפיק לא נכון של שימוש בסמים. חשיבות המשטרה היא שאם עברנו את הגבול, אם הנוער עבר את הגבול ושם  תפקיד המשטרה גם במניעה וגם בטיפול. 
30	הייתי בוחן את האפשרות שלא 3 משרדי ממשלה יבחשו בקלחת אלא להעתיק את ההכשרה המקצועית הנקבעת באותם מעונות (לנוער בסיכון), ובעיקרה הכשרה מקצועית, או רב-תחומית, ולא רק לקראת בגרות, כי משרד הרווחה ומשרד החינוך יודעים לשתף פעולה במוסדות שונים. ולהוציא מהתמונה את משרד התמ"ת, לא בגלל שהם ברחו מן התמונה, אלא משום שזה יוצר פשוט סלט שבסוף לא מביא לתשובה. 
31	לדעת כל הנוכחים בחדר פה, מחיר המים הוא יקר מדי. גם לדעתכם. לפחות ב-10%. אולי אפילו יותר. למה לא תורידו את מחיר המים עכשיו לאלתר? למי אתם מחכים? מה, שהשר ייקח את הדיבידנדים הפוליטיים שלו? מה הקשקוש הזה? המים יקרים מדי, ואתה אומר את זה. אז תורידו עכשיו את המחיר. 
32	הוועדה לתשתיות לאומיות, הוות"ל, דוחפת מזה זמן רב להקמת תחנת כוח מבוססת גז באזור התעשייה באר-טוביה-קריית-מלאכי. התחנה מתוכננת לקום בצמידות למפעל לייצור דשנים עתיר חומרים מסוכנים ובכלל באזור עתיר חומרים מסוכנים. למיטב הבנתי, ההחלטה עומדת בניגוד לעמדת משרד הבריאות, כפי שהובאה במכתבו של ראש שירותי בריאות הציבור, שקבע כי אין להקים תחנת כוח בסמיכות לריכוזי אוכלוסייה מבלי שנעשה תסקיר בריאות ומבלי שתתקבל הוכחה ברורה לכך כי לא קיים סיכון לאוכלוסייה. 
33	למשרד החינוך ולרשויות המקומיות אחריות משותפת להפעלת לימודים בחופשות לתלמידים אוטיסטים. משרד החינוך פרסם את הנחיותיו בנושא, אך משרדך טרם פרסם נהלים בדבר אחריות הרשויות המקומיות. ההורים חוששים שהעיכוב יפגע בילדים. 
34	אנחנו מדברים על חברות שהן חברות חשובות ואני לא מזלזלת. תמיד מהלכים עלינו אימים באיזשהו אופן שאם אנחנו נחמיר ואם אנחנו נמשיך עם מגמת העליהום הזה – אני לא רואה בזה מגמת עליהום -  החברות האלה ילכו. הנה, ראיתם, אינטל כבר עברה לאירלנד. אני רוצה להוריד מעל הפרק את האגדות האורבניות האלה. אני יודעת שיש אופציה כזאת, אבל זאת אגדה אורבנית שתמיד מהלכים עלינו אימים עליה. 
35	מבקר המדינה עושה מלאכה נאמנה ואף אחד לא חולק על העניין הזה. אבל אני חושב שיש לנו ויכוח תפיסתי, ואני חושב שזה חשוב כי זה חורג מגדר העניין הנקודתי הזה. לדעתי, יש ויכוח תפיסתי בסיסי שיכול להיות שצריך ללבן אותו. בעיניי עצמאות השלטון המקומי ועצמאות של נבחר ציבור זה עניין מהותי, והמציאות היא כזאת היום שהרשויות המקומיות הן תחת מערכות של פיקוח בלמים ואישורים שגורמת למצב שהמערכת מצד אחד נתקעת ומצד שני מסתבר שהפיקוח לא מספיק יעיל כי בהרבה רשויות מקומיות יש בעיות קשות מאוד. 
36	אני רוצה להתמקד אך ורק בנושא התחבורה. הרפורמה הזו - גלגוליה היו ארוכים שנים אחורה ומטרתה היתה, לפחות לקראת סוף הדיון הציבורי אפילו היתה מחלוקת על המטרה, אבל בוא נגיד המטרה המשותפת כאן לכל היושבים היתה לשפר את התחבורה הציבורית בגוש דן. אני חושבת שדוח מבקר המדינה במקרה הזה  עשה מאוד מאוד טוב שהתמקד לא רק בדברים הטכניים של המכרזים ודברים לא תקינים שהתנהלו, וזה כמובן דבר שיש לו מקום בדוח וכו', אבל קודם כל מבחינתנו כציבור אנחנו צריכים לשאול האם היתה חתירה לעבר ולאחר מכן האם הושגה המטרה של שיפור התחבורה הציבורית בגוש דן. 
37	אדוני היושב-ראש, אני בדרך כלל לא מבקש בעניינים השנויים במחלוקת ובריב ומדון להתערב. הפעם שמעתי בקשב רב את הדברים שלך, אדוני יושב-ראש הכנסת. אני חושב שהצעת החוק הזאת, יש בה קודם כל ולפני הכל פגיעה קשה בדמוקרטיה. אתה, כיושב-ראש הכנסת, שומר הסף של הדמוקרטיה בבית הזה, ואני מבקש ממך לא לתת להצביע היום ולהעביר מהעולם את מוסד האי-אמון. אם תיתן את ידך לזה, אתה לא תיחשב יושב-ראש של הבית הזה. אנא ממך, תדחה את זה, תן אפשרות לקואליציה לחזור בה מהחוק האנטי-דמוקרטי הזה. 
38	יש תעשייה של ייבוא גופות לישראל – אני מדבר על גופות של יהודים – להיקבר בישראל. אני יכול להגיד לך למה מביאים למשל מארצות-הברית גופות לישראל. זו תעשייה שלמה. מביאים אותן במטוסים, והנוסעים מחכים עד שמורידים את הגופות מהמטוסים בשדה התעופה. ולמה כדאי להביא אותן לישראל? כי בישראל יש שני צדדים מרוויחים: האמריקנים יודעים שלעשות קבר כזה באמריקה עולה 50,000 דולר; פה משלמים 10,000 דולר לאיזה קיבוץ או לאיזה מושב שמפתח בית קברות – מסתבר שזה יותר כלכלי מאשר להקים פרדס או להקים שטח חקלאי. 
39	במושב הקיץ הקרוב של הכנסת תבקש הממשלה מהכנסת לאשר את אחד התקציבים הקשים, הכואבים שידעה מדינת ישראל בשנים האחרונות. התקציב הזה עדיין לא מוכן אבל אנחנו שומעים את צליליו ואת הכיוון, וברור לחלוטין שהתקציב הזה הולך להיות קשה, כואב, ושהוא יפגע בכל שכבות האוכלוסייה. אני בא להתריע על הפגיעה בשכבות המוחלשות ובשכבות העניות במדינת ישראל. 
40	יש כאן בעיה שאתה רוצה חופש עיסוק מסוים. אתה צריך כאן לאזן בין ערכים שונים אבל בוודאי שככל שאדם רחוק מהמרכז, לא רק קשישים אלא צעירים, השירותים שהוא מקבל – אנחנו מכירים את זה לאורך כל שורת הדברים שנסקרים בוועדה הזאת ובוועדות אחרות – כן, יותר קל במרכז מאשר בפריפריה. רואים את זה אפילו במספרים של תוחלת החיים. אנחנו רואים את זה גם בסקטורים מסוימים וגם בפריפריה הגיאוגרפית בגלל טיפולי מניעה, בגלל מרחק ממרכזי בריאות ושירות. המטרה של המדינה בהחלט לצמצם את הפערים האלה אבל לא להוריד את כמות החיים של אלה שבמרכז אלא כמובן להאריך את החיים של הקשישים.
41	אני רוצה לומר דברים וגם להוסיף. לא צריך להוסיף על הדברים של דב, אני כמובן מסכים איתם. תראה אדוני, לנושא עצמו קוראים, בגדול מאוד, נגישות לקורת גג. ואנחנו מדינה שמלבד העובדה שאנחנו מתייחסים באופן עברייני כלפי אזרחנו, אנחנו גם כל הזמן מתגדרים בכך שאנחנו ב-OECD – אנחנו למעשה נזם זהב באף חזיר ב-OECD. אנחנו מאכלסים את המקומות האחרונים ב-OECD, בספסלים האחרונים. 
42	אני הובלתי כאן מהלך גדול בכנסת הקודמת, כיוון שהתברר שמאות אלפי אזרחים לפתע פתאום חדלה פוליסת הביטוח הסיעודי הקולקטיבי שלהם לפעול, וזה אומר שכשהם מגיעים לדמנציה ולאלצהיימר ולמצב סיעודי הם לא מבוטחים. בעקבות לחצים, המפקח על הביטוח שינה את ההוראות, וחלק הוא החזיר במתכונת מצומצמת, ועדיין, כמעט 200,000 קשישים, נמצא שהם לא מבוטחים, ויש לחץ עצום אצל אותם ארגוני גמלאים, בגלל העובדה שהמערכת לא הביאה את המשאבים הנדרשים כדי לפתור את הבעיה. 
43	אדוני היושב-ראש, חבריי חברי הכנסת, בעיתון "הארץ" דווח אתמול שקווי אוטובוס מסוימים ביהודה ושומרון יופרדו ליהודים ולפלסטינים. אני מבקש לדעת מי המטומטם שקיבל את ההחלטה הזאת. אני מבקש לדעת מי במדינת ישראל נטל לעצמו את הסמכות והאחריות להפריד בין יהודים לבין פלסטינים, להפריד בין אנשים בקווי אוטובוס ציבוריים; מי במדינת ישראל מעז להפריד בין אנשים, עם ההיסטוריה הארוכה שלנו, עם החיים המשותפים שלנו פה במדינת ישראל. 
44	ברצוני לשאול על תפקוד משרד הפנים במגזר הערבי. ידוע לך שהיישובים הערביים הם כבר כל כך גדולים – של 40,000, 50,000 ו-60,000 תושבים – כמו סח'נין, אום-אלפחם ורהט. במקומות האלה אין אפילו לשכה של משרד הפנים, והאנשים חייבים לנסוע לפחות 10, 15, 20 קילומטר כדי להחליף תעודת זהות. האם למשרד הפנים יש תוכנית לעשות לשכות במקומות וביישובים כאלה גדולים? 
45	כבוד היושב ראש, מציאות השליטה ביהודה ושומרון של כל הגורמים, הזרוע הארוכה של מדינת ישראל היא אנומלית ומורכבת ונעשתה מורכבת ביותר. זה עוד תוצר לוואי גרוע של הסכמי אוסלו. בדבר אחד החזרנו לעצמנו את השליטה וזה במציאות הביטחונית. צה"ל אחרי חומת מגן החזיר לעצמו את השליטה בכל השטחים, A, B  ו-C, ואילו בכל יתר הדברים, אם לשטחי A היו קוראים ערבים, לשטחי C היו קוראים סלנו, על הכול השתלט ה-B, הבלגן. חוסר יכולת האכיפה, בכל הדברים, אין טעם כרגע להרחיב אם אלה המחצבות או תאונות הדרכים או הבנייה. אין אכיפה. יש אכיפה עד מקום מסוים בהתיישבות היהודית אבל. 
46	אי אפשר להעמיד את זה בידיים לא נאמנות, כי עכשיו בידי הרשויות ובידי הכוחות השולטים בחברה – אם קפיטליסטים, ואם שוטרים, ואם מוחבראת, ואם ממשלות, ואם מעמדות שליטים, יש להם כוח יותר גדול מבעבר, הרבה יותר גדול, ולכן צריך פיקוח עוד יותר גדול. הם יכולים לפקח עליך כמעט בכל צעד ושעל – דרך פלאפונים, דרך האזנות סתר, דרך מאגר ביומטרי, דרך ככה, האדם החשוף בחדר הזכוכית. ולכן כאן צריך פיקוח, וצריך עמדה מוסרית נגד שימוש לרעה במדע. 
47	אני רוצה לציין שהדרך הטובה ביותר, היעילה והאפקטיבית ביותר להיאבק בנגע הסמים היא לא להתקרב לסמים. הגמילה הטובה ביותר היא לא לגעת בזה כי אחרת נכנסים לסרבולים ולמעגלים מתכנסים שאי אפשר לצאת בהם או בקושי רב ובסבל רב אפשר לצאת מהם. לכן הדרך היעילה ביותר והטובה ביותר היא לא להתקרב לא לעישון סיגריות, לא להתקרב לאלכוהול ולעוד דברים אחרים שאזכיר אותם. כל אחד יזכור. אם הוא נכנס לזירה הזאת, היא בעצם גורם לנזק בל ישוער לעתיד שלו, למוביליות החברתית, לאפשרות שלו להתקדם אם בלימודים, אם בתעסוקה, בכל החיים. 
48	צריך לדבר על הדבר שאולי תפס הכי הרבה כותרות: עניין זהותו של יושב-ראש ההתאחדות הבא. ברמה האישית והציבורית, אין פה עניין אישי. ליושב-ראש ההתאחדות יש זכויות, למשל היורו 21 שהיה פה לפני כמה שבועות, שהעמיד אותנו במקום אחר לגמרי. עם זאת, יש הרבה מאוד תפקידים, בטח התפקיד הזה, שבהם נדרשת הפרדה ברורה והיעדר זיקה – כפי שאמרו שתי הוועדות, של זליכה ושל דודי כהן – בין מי שנושא בתפקיד הזה לבין הקבוצות, דבר שלא קורה כאן. לכן היינו מאוד רוצים לשמוע היכן עומדים הדברים. 
49	הרי התקציב לא יבוא משמיים, גם אם נתפלל באמת בכוונה ובאמת בכל מאוויי לבנו. אנחנו צריכים לאפשר לממשלה את אותה תקופה שבה היא תגבש את סדרי העדיפויות, שבה תביא לפנינו תקציב, ואנחנו צריכים גם לדאוג לכך שלכנסת יהיה זמן מתאים וזמן מספיק כדי לדון בכל פרטי התקציב על מנת לאשרו. 
50	בדוחות של ה-OECD נאמר שאחת מהסיבות לנתונים סטטיסטיים רגרסיביים של מדינת ישראל היא אי-השילוב של האוכלוסייה הערבית או האוכלוסייה החרדית בשוק התעסוקה והעבודה במגזר הציבורי.  אני זוכר שראש הממשלה נתניהו אמר בזמנו שבניכוי החרדים והערבים מצבנו טוב. אני בדקתי, בדקתי את עצמי היטב. אני לא מתכוון להתנכות. שאלתי את גפני בזמנו, נדמה לי שגם אייכלר יסכים, הם נשארים פה. הם לא מתכוונים להתנכות. לכן, צריך לפתור את הבעיה מהשורש. 
